category_id,name
0,Electricity
1,Net generation from electricity plants
32,Total consumption (Btu)
33,Consumption for electricty generation (Btu)
34,Consumption for useful thermal output (Btu)
35,Total consumption
36,Consumption for electricty generation
37,Consumption for useful thermal output
38,Retail sales of electricity
39,Revenue from retail sales of electricity
40,Average retail price of electricity
372,By sector
373,By fuel type
374,By sector
375,By fuel type
376,By sector
377,By fuel type
378,By sector
379,By fuel type
380,By sector
381,By fuel type
382,By sector
383,By fuel type
384,Coal
385,Petroleum liquids
386,Petroleum coke
387,Natural gas
388,Electric power (total)
389,Electric utility
390,Independent power producers (total)
391,Electric utility non-cogen
392,Electric utility cogen
393,All commercial (total)
394,Commercial non-cogen
395,Commercial cogen
396,All industrial (total)
397,Industrial non-cogen
398,Industrial cogen
399,Coal
400,Petroleum liquids
401,Petroleum coke
402,Natural gas
403,Electric power (total)
404,Electric utility
405,Independent power producers (total)
406,Electric utility non-cogen
407,Electric utility cogen
408,All commercial (total)
409,Commercial non-cogen
410,Commercial cogen
411,All industrial (total)
412,Industrial non-cogen
413,Industrial cogen
414,Coal
415,Petroleum liquids
416,Petroleum coke
417,Natural gas
418,Electric power (total)
420,Independent power producers (total)
422,Electric utility cogen
423,All commercial (total)
424,Commercial non-cogen
425,Commercial cogen
426,All industrial (total)
428,Industrial cogen
429,Coal
430,Petroleum liquids
431,Petroleum coke
432,Natural gas
433,Electric power (total)
434,Electric utility
435,Independent power producers (total)
436,Electric utility non-cogen
437,Electric utility cogen
438,All commercial (total)
439,Commercial non-cogen
440,Commercial cogen
441,All industrial (total)
442,Industrial non-cogen
443,Industrial cogen
444,Coal
445,Petroleum liquids
446,Petroleum coke
447,Natural gas
448,Electric power (total)
449,Electric utility
450,Independent power producers (total)
451,Electric utility non-cogen
452,Electric utility cogen
453,All commercial (total)
454,Commercial non-cogen
455,Commercial cogen
456,All industrial (total)
457,Industrial non-cogen
458,Industrial cogen
459,Coal
460,Petroleum liquids
461,Petroleum coke
462,Natural gas
463,Electric power (total)
465,Independent power producers (total)
467,Electric utility cogen
468,All commercial (total)
469,Commercial non-cogen
470,Commercial cogen
471,All industrial (total)
473,Industrial cogen
738,Coal
739,Petroleum liquids
740,Petroleum coke
741,Natural gas
742,Coal
743,Petroleum liquids
744,Petroleum coke
745,Natural gas
746,Coal
747,Petroleum liquids
748,Petroleum coke
749,Natural gas
750,Coal
751,Petroleum liquids
752,Petroleum coke
753,Natural gas
754,Coal
755,Petroleum liquids
756,Petroleum coke
757,Natural gas
758,Coal
759,Petroleum liquids
760,Petroleum coke
761,Natural gas
762,Coal
763,Petroleum liquids
765,Natural gas
766,Coal
767,Petroleum liquids
768,Petroleum coke
769,Natural gas
770,Coal
771,Petroleum liquids
772,Petroleum coke
773,Natural gas
774,Coal
775,Petroleum liquids
776,Petroleum coke
777,Natural gas
778,Coal
779,Petroleum liquids
780,Petroleum coke
781,Natural gas
782,Coal
783,Petroleum liquids
784,Petroleum coke
785,Natural gas
786,Coal
787,Petroleum liquids
788,Petroleum coke
789,Natural gas
790,Coal
791,Petroleum liquids
792,Petroleum coke
793,Natural gas
794,Coal
795,Petroleum liquids
796,Petroleum coke
797,Natural gas
798,Coal
799,Petroleum liquids
800,Petroleum coke
801,Natural gas
802,Coal
803,Petroleum liquids
804,Petroleum coke
805,Natural gas
806,Coal
807,Petroleum liquids
809,Natural gas
810,Coal
811,Petroleum liquids
812,Petroleum coke
813,Natural gas
814,Coal
815,Petroleum liquids
816,Petroleum coke
817,Natural gas
818,Coal
819,Petroleum liquids
820,Petroleum coke
821,Natural gas
822,Coal
823,Petroleum liquids
824,Petroleum coke
825,Natural gas
826,Coal
827,Petroleum liquids
828,Petroleum coke
829,Natural gas
834,Coal
835,Petroleum liquids
836,Petroleum coke
837,Natural gas
842,Coal
843,Petroleum liquids
844,Petroleum coke
845,Natural gas
846,Coal
847,Petroleum liquids
848,Petroleum coke
849,Natural gas
853,Natural gas
854,Coal
855,Petroleum liquids
856,Petroleum coke
857,Natural gas
858,Coal
859,Petroleum liquids
860,Petroleum coke
861,Natural gas
866,Coal
867,Petroleum liquids
868,Petroleum coke
869,Natural gas
870,Coal
871,Petroleum liquids
872,Petroleum coke
873,Natural gas
874,Coal
875,Petroleum liquids
876,Petroleum coke
877,Natural gas
878,Coal
879,Petroleum liquids
880,Petroleum coke
881,Natural gas
882,Coal
883,Petroleum liquids
884,Petroleum coke
885,Natural gas
886,Coal
887,Petroleum liquids
888,Petroleum coke
889,Natural gas
890,Coal
891,Petroleum liquids
892,Petroleum coke
893,Natural gas
894,Coal
895,Petroleum liquids
897,Natural gas
898,Coal
899,Petroleum liquids
900,Petroleum coke
901,Natural gas
902,Coal
903,Petroleum liquids
904,Petroleum coke
905,Natural gas
906,Coal
907,Petroleum liquids
908,Petroleum coke
909,Natural gas
910,Coal
911,Petroleum liquids
912,Petroleum coke
913,Natural gas
914,Coal
915,Petroleum liquids
916,Petroleum coke
917,Natural gas
918,Coal
919,Petroleum liquids
920,Petroleum coke
921,Natural gas
922,Coal
923,Petroleum liquids
924,Petroleum coke
925,Natural gas
926,Coal
927,Petroleum liquids
928,Petroleum coke
929,Natural gas
930,Coal
931,Petroleum liquids
932,Petroleum coke
933,Natural gas
934,Coal
935,Petroleum liquids
936,Petroleum coke
937,Natural gas
938,Coal
939,Petroleum liquids
941,Natural gas
942,Coal
943,Petroleum liquids
944,Petroleum coke
945,Natural gas
946,Coal
947,Petroleum liquids
948,Petroleum coke
949,Natural gas
950,Coal
951,Petroleum liquids
