series_id,category1_id,category2_id,category3_id,category4_id,category5_id,category6_id,category7_id,category8_id,category9_id,geoset_id
ELEC.GEN.ALL-AK-99.A,0,1,,,,,,,,ELEC.GEN.ALL-99.A
ELEC.SALES.AK-ALL.A,0,38,,,,,,,,ELEC.SALES.ALL.A
ELEC.PRICE.AK-ALL.A,0,40,,,,,,,,ELEC.PRICE.ALL.A
ELEC.REV.AK-ALL.A,0,39,,,,,,,,ELEC.REV.ALL.A
ELEC.COST.COW-AK-99.M,0,41140,41151,41393,,,,,,ELEC.COST.COW-99.A
ELEC.COST.BIT-US-99.A,0,41140,41151,41394,,,,,,ELEC.COST.BIT-99.A
ELEC.COST.SUB-US-99.A,0,41140,41151,41395,,,,,,ELEC.COST.SUB-99.A
ELEC.COST.LIG-US-99.A,0,41140,41151,41396,,,,,,ELEC.COST.LIG-99.A
ELEC.COST.PEL-AK-99.M,0,41140,41151,41397,,,,,,ELEC.COST.PEL-99.A
ELEC.COST.PC-ENC-99.M,0,41140,41151,41398,,,,,,ELEC.COST.PC-99.A
ELEC.RECEIPTS_BTU.PC-CA-99.A,0,41139,41149,41380,,,,,,ELEC.RECEIPTS_BTU.PC-99.A
ELEC.RECEIPTS_BTU.LIG-ESC-99.A,0,41139,41149,41378,,,,,,ELEC.RECEIPTS_BTU.LIG-99.A
ELEC.COST.NG-AK-99.M,0,41140,41151,41399,,,,,,ELEC.COST.NG-99.A
ELEC.COST_BTU.COW-AK-99.M,0,41141,41153,41411,,,,,,ELEC.COST_BTU.COW-99.A
ELEC.COST_BTU.BIT-US-99.A,0,41141,41153,41412,,,,,,ELEC.COST_BTU.BIT-99.A
ELEC.COST_BTU.SUB-US-99.A,0,41141,41153,41413,,,,,,ELEC.COST_BTU.SUB-99.A
ELEC.COST_BTU.LIG-US-99.A,0,41141,41153,41414,,,,,,ELEC.COST_BTU.LIG-99.A
ELEC.COST_BTU.PEL-AK-99.M,0,41141,41153,41415,,,,,,ELEC.COST_BTU.PEL-99.A
ELEC.RECEIPTS_BTU.COW-AK-99.A,0,41139,41149,41375,,,,,,ELEC.RECEIPTS_BTU.COW-99.A
ELEC.COST_BTU.PC-ENC-99.M,0,41141,41153,41416,,,,,,ELEC.COST_BTU.PC-99.A
ELEC.COST_BTU.NG-AK-99.M,0,41141,41153,41417,,,,,,ELEC.COST_BTU.NG-99.A
ELEC.RECEIPTS.COW-AK-99.A,0,41138,41147,41203,,,,,,ELEC.RECEIPTS.COW-99.A
ELEC.RECEIPTS.BIT-AL-99.A,0,41138,41147,41204,,,,,,ELEC.RECEIPTS.BIT-99.A
ELEC.RECEIPTS.SUB-AK-99.A,0,41138,41147,41205,,,,,,ELEC.RECEIPTS.SUB-99.A
ELEC.RECEIPTS.LIG-ESC-99.A,0,41138,41147,41206,,,,,,ELEC.RECEIPTS.LIG-99.A
ELEC.RECEIPTS.PEL-AK-99.A,0,41138,41147,41207,,,,,,ELEC.RECEIPTS.PEL-99.A
ELEC.RECEIPTS.PC-CA-99.A,0,41138,41147,41208,,,,,,ELEC.RECEIPTS.PC-99.A
ELEC.RECEIPTS.NG-AK-99.A,0,41138,41147,41209,,,,,,ELEC.RECEIPTS.NG-99.A
ELEC.RECEIPTS_BTU.BIT-AL-99.A,0,41139,41149,41376,,,,,,ELEC.RECEIPTS_BTU.BIT-99.A
ELEC.RECEIPTS_BTU.SUB-AK-99.A,0,41139,41149,41377,,,,,,ELEC.RECEIPTS_BTU.SUB-99.A
